velocidad,combustible,viento,anomalias,factor_velocidad,factor_combustible,factor_viento,factor_anomalias,indice_desempeno,exito
7805.630222241973,502235.9156567592,10.613381231992895,1,1,1,0.8087482276482898,0.7788007830714049,0.9270723907615244,True
7780.81936155587,492501.80530176766,0.15519288548251042,0,0.9975409437892141,0.9850036106035354,0.9969009542768295,1.0,0.99417555664881,True
7726.6884553465125,500570.4392878797,3.8329506488541822,1,0.9906010840187837,1,0.9262056238649456,0.7788007830714049,0.9414013796005971,True
7709.802254308399,503412.46778138424,18.791949662984667,1,0.9884361864497947,1,0.6867128895457634,0.7788007830714049,0.9047197553035736,True
7916.301931461535,502154.8035996506,3.8245049046582262,2,1,1,0.9263620869944897,0.6065306597126334,0.9102604449917001,True
7886.904834265765,502644.3906042242,0.29317210746214556,0,1,1,0.9941537142793889,1.0,0.9991230571419083,True
7792.833914270167,501079.47907466604,8.915590237642311,1,0.9990812710602778,1,0.8366815015437309,0.7788007830714049,0.9309408267169379,True
7756.844365194854,505444.3810160079,9.54838113153866,2,0.9944672263070325,1,0.8261593365840503,0.6065306597126334,0.8932935616375955,True
7648.398330324067,499172.64456436376,3.271387597907218,0,0.9805638885030855,0.9983452891287276,0.9366667166512392,1.0,0.9832009552123839,True
7802.885501757029,498424.6088607939,13.002344787689625,1,1,0.9968492177215877,0.7710154276060768,0.7788007830714049,0.9204672360716687,True
8006.482128730954,495142.75807313994,15.372758435118111,0,1,0.9902855161462799,0.7353158319717971,1.0,0.9573830296396535,True
7861.911781641555,497597.8692412839,12.264273777120343,0,1,0.9951957384825678,0.7824811271299907,1.0,0.965930890614269,True
7660.924823419437,501750.8249259197,4.18311866204446,3,0.9821698491563381,1,0.9197417331000685,0.4723665527410147,0.8761940177179316,True
7844.407885145009,506199.93528260035,3.3499675250661047,0,1,1,0.9351958087450206,1.0,0.990279371311753,True
7894.409553019498,488536.8969516528,22.90448579064025,1,1,0.9770737939033055,0.6324907292419858,0.7788007830714049,0.8937559041715705,True
7861.16767209482,505041.5890738808,10.158539577974047,0,1,1,0.8161388398964277,1.0,0.972420825984464,True
7755.873942274811,493397.0515624084,6.430532317847326,0,0.9943428131121553,0.9867941031248167,0.8793162638944478,1.0,0.9759556551108666,True
7704.836427965488,497521.39040815685,5.368431069919132,0,0.9877995420468574,0.9950427808163137,0.8981945182393587,1.0,0.9789718516971979,True
7832.2676198101635,490942.3058251411,2.481303389241305,0,1,0.9818846116502822,0.9515851863378166,1.0,0.987303161445757,True
7788.467728912991,497768.56261071766,19.56770477895016,0,0.9985215037067937,0.9955371252214353,0.6761406952148219,1.0,0.9495647681460317,True
7908.610722304957,507369.11688108824,20.084367380846718,0,1,1,0.6691899368150596,1.0,0.9503784905222588,True
7832.419976493432,493411.321765552,0.7088602022154502,0,1,0.9868226435311039,0.9859228192713801,1.0,0.9939352159500383,True
7882.4688626770085,499340.1519442135,8.778247659050118,0,1,0.998680303888427,0.8389829007954132,1.0,0.9754515262858401,True
7861.686665859222,504636.35521398275,3.0690096558041855,1,1,1,0.9404656132446758,0.7788007830714049,0.9468299986009823,True
7803.4936173632,493357.6112141792,5.687089231431001,0,1,0.9867152224283584,0.8924883803501427,1.0,0.9798878237810289,True
7845.62441413478,493317.0789657477,0.964021288181544,1,1,0.9866341579314954,0.9809042528465743,0.7788007830714049,0.9488860419207157,True
7587.931049116446,495411.04703373444,13.317705941427397,1,0.9728116729636469,0.9908220940674689,0.7661677650251519,0.7788007830714049,0.9084160351255708,True
7890.8586464530945,503371.3691041383,13.128528983002303,0,1,1,0.7690720816068929,1.0,0.9653608122410338,True
7912.356071305607,501165.46842329577,0.905794018696576,0,1,1,0.9820472257647127,1.0,0.9973070838647069,True
7840.425698822323,495183.3410023726,0.6186312483219708,1,1,0.9903666820047452,0.9877036012611314,0.7788007830714049,0.9510257014048742,True
7907.3746654671395,501915.7519509347,3.7394257111960316,1,1,1,0.9279397116284602,0.7788007830714049,0.94495111335855,True
7822.9624060613005,502223.92710218386,1.3379453013527574,1,1,1,0.9735959413443857,0.7788007830714049,0.9517995478159388,True
7805.039161003211,496048.6657871703,12.933998904810528,1,1,0.9920973315743405,0.7720700628438917,0.7788007830714049,0.9191998655131669,True
7788.81241867484,506670.61529719713,12.072277712994573,0,0.9985656947019026,1,0.7854915692946138,1.0,0.9673217285398581,True
7703.315126279186,493954.14841736824,15.942612031904606,2,0.9876045033691264,0.9879082968347365,0.7269829599089558,0.6065306597126334,0.8723876411584852,True
7725.164023888592,496913.31627330044,0.07753648442527222,2,0.990405644088281,0.9938266325466009,0.9984504720714961,0.6065306597126334,0.9158636679481297,True
7789.239144496855,494103.82871739106,0.10830764674547422,0,0.9986204031406225,0.9882076574347821,0.9978361914812657,1.0,0.9956548670518424,True
7793.157201902188,500272.54785639036,13.15995058857695,0,0.9991227181925881,1,0.7685889238465852,1.0,0.9649812899443935,True
7747.346438245532,501333.94641167525,16.331593924870916,1,0.9932495433648119,1,0.7213492383218425,0.7788007830714049,0.9115998825402414,True
7770.7004449101905,497009.02916365775,7.687390430737225,1,0.9962436467833578,0.9940180583273155,0.8574882448937313,0.7788007830714049,0.9312740872207105,True
7938.799642232875,495699.7147333543,1.359133419867115,1,1,0.9913994294667086,0.9731834554247577,0.7788007830714049,0.9491575037680072,True
7661.728842226079,501574.02587601123,7.870699593199609,0,0.982272928490523,1,0.8543502915246567,1.0,0.9719480687003814,True
7745.139793384045,504126.53946310206,16.40523931755022,0,0.9929666401774417,1,0.7202875394477873,1.0,0.9555814549792727,True
7677.24061750863,492534.99524461,4.940800770980389,2,0.9842616176293115,0.9850699904892201,0.9059093660464106,0.6065306597126334,0.8972051001665133,True
7790.504328976721,507345.88628530264,16.533872877904066,1,0.9987826062790668,1,0.7184368580523525,0.7788007830714049,0.9130995975198072,True
7817.793706814453,497698.5686774744,12.33915647850749,0,1,0.9953971373549488,0.7813101182202946,1.0,0.9658156589395288,True
7960.995623717861,500756.2346641073,0.8948994168028792,0,1,1,0.982261229350015,1.0,0.9973391844025021,True
7918.685233905712,502010.02217852056,1.0406726296687274,0,1,1,0.9794016523672562,1.0,0.9969102478550884,True
7722.83543601136,500333.29455478315,9.74315760540112,0,0.9901071071809435,1,0.8229472689495254,1.0,0.969979577855759,True
7853.762685597066,508292.88043376093,1.7803629422585538,0,1,1,0.965019221831488,1.0,0.994752883274723,True
7690.957012900318,495704.9193422868,10.965386657149491,1,0.9860201298590151,0.9914098386845737,0.8030745474697234,0.7788007830714049,0.918751335790767,True
7760.948793541979,511592.6643700821,0.6771078795214664,0,0.9949934350694846,1,0.9865491249070957,1.0,0.996230071010384,True
7857.488746526143,500744.3998435804,0.7694786610115969,0,1,1,0.9847282411166428,1.0,0.9977092361674964,True
7986.361538732604,504007.96728549927,24.19172423993496,0,1,1,0.6164152195584712,1.0,0.9424622829337705,True
7855.632150423011,506935.34434722824,0.030788250054268638,0,1,1,0.999384424543276,1.0,0.9999076636814912,True
7844.784548931148,500746.27696216694,12.546088668609746,0,1,1,0.7780832360060205,1.0,0.966712485400903,True
7710.102518312197,500820.27269021055,2.1229379195949885,0,0.9884746818348971,1,0.958429991899993,1.0,0.989730637427213,True
7686.8607141477805,507714.8040328528,0.41033483051796055,0,0.9854949633522796,1,0.9918268863929678,1.0,0.9936972701322431,True
7875.166621596797,504851.45001298684,0.6619410838808228,2,1,1,0.9868484260785362,0.6065306597126334,0.9193333958543071,True
7762.988215171187,501216.28104590235,3.0900654004915147,0,0.9952548993809215,1,0.9400696525462072,1.0,0.9893496626652536,True
7964.566064686327,502937.0187804547,6.028843709033106,1,1,1,0.8864089427649259,0.7788007830714049,0.9387214980290197,True
7689.503378785089,493924.96311537444,5.170782214557504,0,0.9858337665109088,0.9878499262307489,0.9017520874701087,1.0,0.9766596092685589,True
7885.0264384286165,503060.64596121974,1.7581914183931056,0,1,1,0.9654472356558109,1.0,0.9948170853483715,True
7791.5602442059335,497312.24878859,35.335978807894705,1,0.9989179800264018,0.9946244975771801,0.49325964703912656,0.7788007830714049,0.8777577459525446,True
7717.342728488331,487378.31850717857,7.440233900741039,0,0.9894029139087603,0.9747566370143571,0.8617374147246424,1.0,0.9679786231810696,True
7710.925936879956,501963.63871725055,1.6469969716271728,0,0.988580248317943,1,0.9675966722490792,1.0,0.991142587748642,True
7842.291941160747,499418.94478255924,2.7181323920505513,0,1,0.9988378895651184,0.9470885845863762,1.0,0.991714654557492,True
7636.493025752335,497604.83068589214,9.02002924903974,1,0.9790375674041455,0.9952096613717842,0.8349356817179342,0.7788007830714049,0.9222265558749574,True
7818.901231071889,503242.9467955881,16.020331514952133,2,1,1,0.7258538228991779,0.6065306597126334,0.8801842053774033,True
7888.8958352179125,501669.0363484847,0.5057878882284174,0,1,1,0.9899352344266107,1.0,0.9984902851639914,True
